number,value,params_dropout,params_l2_factor,params_lr,params_recurrent_dropout,params_units_1,params_units_2,user_attrs_actual_epochs,user_attrs_auc_overfit_gap,user_attrs_best_val_loss,user_attrs_train_a_accuracy,user_attrs_train_a_auc,user_attrs_train_a_gini,user_attrs_train_a_sensitivity,user_attrs_train_a_specificity,user_attrs_train_b_cond_wr,user_attrs_train_b_coverage,user_attrs_train_b_n_traded,user_attrs_units_2_effective,user_attrs_val_a_accuracy,user_attrs_val_a_auc,user_attrs_val_a_gini,user_attrs_val_a_sensitivity,user_attrs_val_a_specificity,user_attrs_val_b_cond_wr,user_attrs_val_b_coverage,user_attrs_val_b_n_traded,state
0,0.5032653605224577,0.1,0.0001,0.0005,0.4,256,64,15,0.0637,0.69883,0.5556,0.5669,0.1339,0.8874,0.1675,0.6028,0.3392,861,64,0.5187,0.5033,0.0065,0.776,0.2317,0.5169,0.2565,89,COMPLETE
1,0.49396907903505266,0.30000000000000004,0.001,0.0005,0.1,512,64,22,0.0632,0.69652,0.5493,0.5572,0.1143,0.9291,0.1051,0.5922,0.2715,689,64,0.5159,0.494,-0.0121,0.8798,0.1098,0.4634,0.2363,82,COMPLETE
2,0.5414834066373451,0.4,0.001,0.002,0.4,512,256,17,0.015,0.6936,0.5418,0.5565,0.113,0.9561,0.0573,0.5877,0.366,929,256,0.5303,0.5415,0.083,0.9508,0.061,0.5594,0.4121,143,COMPLETE
3,0.5320871651339464,0.30000000000000004,1e-05,0.002,0.1,256,64,15,0.0715,0.69039,0.5713,0.6036,0.2072,0.826,0.2735,0.6383,0.4031,1023,64,0.5043,0.5321,0.0642,0.7377,0.2439,0.5702,0.3487,121,COMPLETE
4,0.5213581234172997,0.4,0.0001,0.002,0.2,256,128,15,0.0636,0.69598,0.5591,0.5849,0.1698,0.7237,0.3667,0.6512,0.2723,691,128,0.4928,0.5214,0.0427,0.623,0.3476,0.5676,0.2133,74,COMPLETE
5,0.49880047980807674,0.4,0.001,0.0005,0.1,128,64,30,0.0789,0.69897,0.5634,0.5777,0.1554,0.8516,0.2265,0.6078,0.3857,979,64,0.5274,0.4988,-0.0024,0.765,0.2622,0.4889,0.2594,90,COMPLETE
6,0.49746767959482874,0.1,0.001,0.001,0.30000000000000004,512,128,17,0.0516,0.69398,0.5441,0.5491,0.0982,0.9642,0.053,0.6228,0.1348,342,128,0.5418,0.4975,-0.0051,0.9781,0.0549,0.4884,0.1239,43,COMPLETE
7,0.5028655204584833,0.4,0.0001,0.001,0.1,256,64,15,0.0766,0.69925,0.5642,0.5795,0.1589,0.7807,0.3111,0.6237,0.3361,853,64,0.5072,0.5029,0.0057,0.6448,0.3537,0.5,0.2536,88,COMPLETE
8,0.5114954018392643,0.4,0.0001,0.002,0.30000000000000004,128,64,16,0.0777,0.69502,0.5646,0.5892,0.1784,0.8326,0.2513,0.6377,0.3132,795,64,0.5101,0.5115,0.023,0.7596,0.2317,0.6216,0.2133,74,COMPLETE
9,0.5256564041050247,0.1,1e-05,0.002,0.2,256,64,13,0.0689,0.69125,0.5642,0.5945,0.1891,0.7968,0.2923,0.6376,0.3924,996,64,0.5159,0.5257,0.0513,0.6503,0.3659,0.56,0.2882,100,COMPLETE
10,0.5458816473410636,0.2,0.001,0.002,0.4,512,256,21,0.0122,0.69259,0.5406,0.5581,0.1162,0.9956,0.0085,0.6228,0.0658,167,256,0.5245,0.5459,0.0918,0.9945,0.0,0.5,0.0519,18,COMPLETE
11,0.5357190457150472,0.2,0.001,0.002,0.4,512,256,16,-0.0024,0.6932,0.5402,0.5334,0.0667,0.9993,0.0034,0.7778,0.0035,9,256,0.5274,0.5357,0.0714,1.0,0.0,-1.0,0.0,0,COMPLETE
12,0.5440823670531787,0.2,0.001,0.002,0.4,512,256,21,0.0235,0.69254,0.5532,0.5676,0.1352,0.9203,0.1239,0.6144,0.2687,682,256,0.5245,0.5441,0.0882,0.8689,0.1402,0.5402,0.2507,87,COMPLETE
13,0.5555444488871119,0.2,0.001,0.002,0.30000000000000004,512,256,38,0.0193,0.68877,0.5611,0.5748,0.1497,0.7719,0.3145,0.6139,0.3755,953,256,0.5476,0.5555,0.1111,0.7432,0.3293,0.5971,0.4006,139,COMPLETE
14,0.5608090097294416,0.2,0.001,0.002,0.30000000000000004,512,256,27,-0.0036,0.69042,0.5457,0.5572,0.1145,0.9569,0.065,0.6043,0.2947,748,256,0.5418,0.5608,0.1216,0.929,0.1098,0.6019,0.3112,108,COMPLETE
15,0.5101959216313474,0.2,0.001,0.001,0.30000000000000004,512,256,13,0.0325,0.69382,0.5414,0.5427,0.0854,0.9905,0.0162,0.6212,0.026,66,256,0.5274,0.5102,0.0204,0.9891,0.0122,0.5,0.0058,2,COMPLETE
16,0.5248567239770758,0.30000000000000004,1e-05,0.002,0.2,128,256,11,0.0574,0.69168,0.554,0.5822,0.1644,0.777,0.2932,0.6434,0.2652,673,64,0.4986,0.5249,0.0497,0.6667,0.311,0.623,0.1758,61,COMPLETE
17,0.5357190457150474,0.2,0.001,0.002,0.30000000000000004,512,256,20,0.0156,0.69263,0.5406,0.5513,0.1026,0.9861,0.0197,0.6013,0.2994,760,256,0.5187,0.5357,0.0714,0.9672,0.0183,0.5619,0.3026,105,COMPLETE
18,0.5051979208316674,0.30000000000000004,0.001,0.001,0.30000000000000004,512,256,16,0.0385,0.69417,0.5406,0.5437,0.0875,0.9883,0.0171,0.6286,0.0276,70,256,0.5331,0.5052,0.0104,0.9945,0.0183,0.5,0.0173,6,COMPLETE
19,0.5089964014394243,0.1,1e-05,0.0005,0.2,512,128,12,0.0592,0.69483,0.5591,0.5681,0.1363,0.8567,0.2111,0.6146,0.275,698,128,0.5331,0.509,0.018,0.7705,0.2683,0.557,0.2277,79,COMPLETE
20,0.5028322004531521,0.2,0.001,0.002,0.30000000000000004,128,256,13,0.0564,0.69417,0.5433,0.5593,0.1186,0.9832,0.0291,0.6426,0.1036,263,64,0.5389,0.5028,0.0057,1.0,0.0244,0.5385,0.0749,26,COMPLETE
21,0.5245568439290951,0.2,0.001,0.002,0.4,512,256,19,0.0267,0.69315,0.5508,0.5513,0.1026,0.8991,0.1436,0.5997,0.2431,617,256,0.5476,0.5246,0.0491,0.8634,0.1951,0.5412,0.245,85,COMPLETE
22,0.5300213248034119,0.2,0.001,0.002,0.4,512,256,30,0.0326,0.69257,0.5461,0.5626,0.1252,0.932,0.0949,0.6106,0.2762,701,256,0.5245,0.53,0.06,0.8634,0.1463,0.587,0.2651,92,COMPLETE
23,0.4981507397041184,0.2,0.001,0.002,0.30000000000000004,512,256,16,0.0487,0.69333,0.5402,0.5468,0.0937,0.9993,0.0034,0.6029,0.0268,68,256,0.5274,0.4982,-0.0037,1.0,0.0,0.5,0.0173,6,COMPLETE
24,0.524057043849127,0.30000000000000004,0.001,0.002,0.30000000000000004,512,256,9,0.0146,0.69733,0.5382,0.5387,0.0774,0.8662,0.1547,0.619,0.0083,21,256,0.5418,0.5241,0.0481,0.847,0.2012,-1.0,0.0,0,COMPLETE
25,0.5003998400639744,0.1,0.001,0.002,0.4,512,256,13,0.039,0.69513,0.5429,0.5394,0.0789,0.9942,0.0154,0.5,0.0032,8,256,0.5245,0.5004,0.0008,0.9781,0.0183,-1.0,0.0,0,COMPLETE
26,0.4941356790617087,0.2,0.001,0.002,0.2,512,128,17,0.0487,0.69303,0.5418,0.5429,0.0857,0.9978,0.0085,0.5949,0.0311,79,128,0.5274,0.4941,-0.0117,1.0,0.0,0.4286,0.0202,7,COMPLETE
27,0.5290550446488071,0.30000000000000004,0.001,0.002,0.30000000000000004,512,256,12,0.0081,0.69428,0.5398,0.5371,0.0742,0.9993,0.0026,0.5843,0.2805,712,256,0.5274,0.5291,0.0581,1.0,0.0,0.5833,0.2421,84,COMPLETE
28,0.5041650006664001,0.2,0.0001,0.0005,0.4,128,256,20,0.0747,0.69857,0.5591,0.5789,0.1578,0.8414,0.2291,0.6167,0.4204,1067,64,0.5101,0.5042,0.0083,0.7268,0.2683,0.4953,0.3084,107,COMPLETE
29,0.5147940823670532,0.1,1e-05,0.001,0.4,512,256,12,0.0509,0.69437,0.5548,0.5657,0.1314,0.8684,0.188,0.6273,0.2136,542,256,0.513,0.5148,0.0296,0.7978,0.1951,0.5172,0.1671,58,COMPLETE
30,0.5025656404105024,0.1,0.0001,0.0005,0.30000000000000004,256,128,17,0.0786,0.6995,0.5666,0.5812,0.1623,0.8246,0.265,0.6116,0.3601,914,128,0.4986,0.5026,0.0051,0.7049,0.2683,0.4731,0.268,93,COMPLETE
31,0.532853525256564,0.2,0.001,0.002,0.4,512,256,20,0.0135,0.69363,0.5473,0.5464,0.0927,0.8962,0.1393,0.6006,0.1351,343,256,0.513,0.5329,0.0657,0.847,0.1402,0.6,0.1297,45,COMPLETE
32,0.5199920031987205,0.2,0.001,0.002,0.4,512,256,21,0.0223,0.69375,0.5402,0.5423,0.0847,0.9993,0.0034,0.6,0.002,5,256,0.5274,0.52,0.04,1.0,0.0,-1.0,0.0,0,COMPLETE
33,0.5539284286285486,0.2,0.001,0.002,0.4,512,256,15,-0.0023,0.69268,0.5406,0.5516,0.1033,0.9686,0.0402,0.6077,0.0823,209,256,0.5187,0.5539,0.1079,0.9399,0.0488,0.6757,0.1066,37,COMPLETE
34,0.4877382380381181,0.30000000000000004,0.001,0.002,0.4,512,256,15,0.0538,0.69508,0.5429,0.5415,0.0831,0.9861,0.0248,0.4,0.002,5,256,0.536,0.4877,-0.0245,0.9836,0.0366,-1.0,0.0,0,COMPLETE
35,0.5277555644408902,0.2,0.001,0.002,0.4,512,256,14,0.022,0.6931,0.5422,0.5498,0.0996,0.9927,0.0154,0.6409,0.1174,298,256,0.536,0.5278,0.0555,0.9891,0.0305,0.5366,0.1182,41,COMPLETE
36,0.5435159269625484,0.30000000000000004,0.001,0.002,0.30000000000000004,512,256,25,0.0078,0.69237,0.541,0.5514,0.1027,0.9978,0.0068,0.5826,0.2313,587,256,0.5216,0.5435,0.087,0.9891,0.0,0.5753,0.2104,73,COMPLETE
37,0.4950353192056511,0.2,0.001,0.0005,0.2,256,256,22,0.0611,0.69506,0.5512,0.5561,0.1123,0.9115,0.1299,0.6434,0.1127,286,256,0.5303,0.495,-0.0099,0.8197,0.2073,0.6,0.1009,35,COMPLETE
38,0.5043649206983873,0.1,0.001,0.002,0.30000000000000004,512,64,13,0.0383,0.69326,0.5449,0.5427,0.0853,0.9839,0.0316,0.5405,0.0146,37,64,0.5274,0.5044,0.0087,1.0,0.0,-1.0,0.0,0,COMPLETE
39,0.5210915633746502,0.2,0.0001,0.002,0.4,512,128,21,0.0796,0.69636,0.5733,0.6006,0.2013,0.8428,0.2581,0.6288,0.3991,1013,128,0.5303,0.5211,0.0422,0.7158,0.3232,0.5238,0.4236,147,COMPLETE
40,0.4892043182726909,0.30000000000000004,1e-05,0.001,0.30000000000000004,128,64,6,0.0504,0.69442,0.5402,0.5396,0.0793,0.9956,0.0077,0.6008,0.1954,496,64,0.5216,0.4892,-0.0216,0.9891,0.0,0.5,0.1326,46,COMPLETE
41,0.5514127682260429,0.2,0.001,0.002,0.4,512,256,12,-0.0388,0.69354,0.539,0.5127,0.0253,0.9985,0.0017,0.6389,0.0284,72,256,0.5274,0.5514,0.1028,1.0,0.0,-1.0,0.0,0,COMPLETE
42,0.5106957217113155,0.2,0.001,0.002,0.4,512,256,11,0.0406,0.69535,0.5445,0.5513,0.1026,0.97,0.047,0.5714,0.0083,21,256,0.5216,0.5107,0.0214,0.9399,0.0549,-1.0,0.0,0,COMPLETE
43,0.5436492069838731,0.2,0.001,0.002,0.4,512,256,18,0.0126,0.69208,0.5433,0.5562,0.1124,0.9664,0.0487,0.6272,0.1564,397,256,0.5187,0.5436,0.0873,0.9399,0.0488,0.617,0.1354,47,COMPLETE
44,0.507796881247501,0.2,0.001,0.002,0.4,256,256,11,0.0394,0.69463,0.5398,0.5472,0.0944,0.9985,0.0034,0.6119,0.0863,219,256,0.5274,0.5078,0.0156,1.0,0.0,0.5,0.0634,22,COMPLETE
45,0.5299546847927495,0.2,0.001,0.002,0.4,512,256,15,0.012,0.69297,0.541,0.542,0.0839,0.992,0.0137,0.6124,0.0701,178,256,0.5303,0.53,0.0599,0.9891,0.0183,0.6296,0.0778,27,COMPLETE
46,0.48660535785685727,0.1,0.001,0.002,0.1,512,256,15,0.053,0.69281,0.539,0.5396,0.0791,0.9985,0.0017,0.4762,0.0083,21,256,0.5274,0.4866,-0.0268,1.0,0.0,1.0,0.0058,2,COMPLETE
47,0.5314207650273224,0.2,0.0001,0.002,0.4,512,64,12,0.0242,0.69654,0.5445,0.5556,0.1112,0.9167,0.1094,0.5819,0.3873,983,64,0.5389,0.5314,0.0628,0.9126,0.122,0.5321,0.3141,109,COMPLETE
48,0.5038318006130881,0.2,0.001,0.0005,0.30000000000000004,512,256,25,0.0466,0.69452,0.5433,0.5504,0.1008,0.9532,0.0641,0.5934,0.2403,610,256,0.5447,0.5038,0.0077,0.9508,0.0915,0.507,0.2046,71,COMPLETE
49,0.5141276822604292,0.30000000000000004,1e-05,0.001,0.30000000000000004,256,256,9,0.0393,0.69408,0.5461,0.5535,0.1069,0.8048,0.2436,0.5996,0.2116,537,256,0.5072,0.5141,0.0283,0.7268,0.2622,0.5846,0.1873,65,COMPLETE
50,0.5226242836198854,0.2,0.001,0.002,0.2,128,128,19,0.0356,0.69356,0.5595,0.5583,0.1165,0.8465,0.2239,0.6072,0.2738,695,128,0.5504,0.5226,0.0452,0.8634,0.2012,0.5233,0.2478,86,COMPLETE
51,0.5579101692656271,0.2,0.001,0.002,0.4,512,256,30,0.0117,0.69039,0.5559,0.5696,0.1392,0.6674,0.4256,0.6028,0.4216,1070,256,0.5677,0.5579,0.1158,0.6503,0.4756,0.5625,0.4611,160,COMPLETE
52,0.5578601892576303,0.2,0.001,0.002,0.4,512,256,22,-0.0169,0.6907,0.5426,0.5409,0.0819,0.992,0.0171,0.5983,0.1422,361,256,0.5274,0.5579,0.1157,0.9836,0.0183,0.6034,0.1671,58,COMPLETE
53,0.5289550846328135,0.2,0.001,0.002,0.4,512,256,23,0.0322,0.69332,0.5441,0.5612,0.1224,0.9598,0.0581,0.5964,0.3983,1011,256,0.5303,0.529,0.0579,0.9399,0.0732,0.5403,0.3573,124,COMPLETE
54,0.5516793282686925,0.2,0.001,0.002,0.4,512,256,22,-0.0001,0.69271,0.5473,0.5515,0.1031,0.837,0.2085,0.6203,0.1474,374,256,0.5331,0.5517,0.1034,0.8033,0.2317,0.5636,0.1585,55,COMPLETE
55,0.5513461282153804,0.2,0.001,0.002,0.4,512,256,28,0.0036,0.69075,0.565,0.555,0.11,0.7697,0.3256,0.5699,0.4681,1188,256,0.5677,0.5513,0.1027,0.7268,0.3902,0.5548,0.4467,155,COMPLETE
56,0.5455151272824204,0.2,0.001,0.002,0.4,512,256,27,0.0379,0.69298,0.5701,0.5835,0.1669,0.7792,0.3256,0.6169,0.4011,1018,256,0.5331,0.5455,0.091,0.7158,0.3293,0.5152,0.3804,132,COMPLETE
57,0.5066306810609089,0.2,0.001,0.002,0.30000000000000004,512,256,25,0.0372,0.69314,0.5429,0.5438,0.0876,0.9876,0.0231,0.6077,0.0713,181,256,0.5303,0.5066,0.0133,0.9945,0.0122,0.4444,0.0519,18,COMPLETE
58,0.5546781287485005,0.1,0.001,0.002,0.4,512,64,22,0.0033,0.69049,0.5445,0.5579,0.1159,0.9751,0.041,0.6144,0.2738,695,64,0.5216,0.5547,0.1094,0.9399,0.0549,0.5979,0.2795,97,COMPLETE
59,0.5527122484339597,0.1,0.001,0.002,0.30000000000000004,512,64,23,0.0205,0.69066,0.5615,0.5732,0.1465,0.8874,0.1803,0.6129,0.3909,992,64,0.5274,0.5527,0.1054,0.8142,0.2073,0.5435,0.3977,138,COMPLETE
60,0.5247567639610822,0.1,0.0001,0.001,0.4,128,64,19,0.0674,0.69478,0.5638,0.5921,0.1842,0.845,0.235,0.6257,0.4716,1197,64,0.5303,0.5248,0.0495,0.7486,0.2866,0.5536,0.3228,112,COMPLETE
61,0.5145608423297348,0.1,0.001,0.002,0.30000000000000004,512,64,12,0.0253,0.69294,0.541,0.5399,0.0798,0.9978,0.0068,0.6279,0.0508,129,64,0.5274,0.5146,0.0291,1.0,0.0,0.6364,0.0317,11,COMPLETE
62,0.5210915633746501,0.1,0.001,0.002,0.30000000000000004,512,64,14,0.0342,0.69279,0.5374,0.5553,0.1106,0.9832,0.0162,0.6429,0.1379,350,64,0.5274,0.5211,0.0422,0.9781,0.0244,0.5349,0.1239,43,COMPLETE
63,0.522391043582567,0.1,0.001,0.002,0.30000000000000004,512,64,18,0.0166,0.69246,0.5426,0.539,0.078,0.9605,0.0538,0.5764,0.3739,949,64,0.5303,0.5224,0.0448,0.9399,0.0732,0.5379,0.3804,132,COMPLETE
64,0.5248567239770758,0.1,0.001,0.002,0.2,512,64,10,0.0225,0.69236,0.5406,0.5474,0.0948,0.9583,0.0521,0.6947,0.0374,95,64,0.5331,0.5249,0.0497,0.9071,0.1159,0.7778,0.0259,9,COMPLETE
65,0.5619752099160336,0.1,1e-05,0.002,0.30000000000000004,512,64,13,0.0147,0.68767,0.5469,0.5766,0.1533,0.9123,0.1197,0.5901,0.5335,1354,64,0.5101,0.562,0.124,0.8579,0.122,0.5683,0.5274,183,COMPLETE
66,0.5223910435825669,0.4,1e-05,0.002,0.4,512,64,10,0.0296,0.69429,0.5473,0.552,0.104,0.7668,0.2906,0.6519,0.0623,158,64,0.536,0.5224,0.0448,0.7486,0.2988,0.5294,0.049,17,COMPLETE
67,0.5209582833533254,0.1,1e-05,0.0005,0.30000000000000004,512,64,15,0.0706,0.69272,0.5623,0.5915,0.183,0.7383,0.3564,0.6557,0.2872,729,64,0.5101,0.521,0.0419,0.6721,0.3293,0.5538,0.1873,65,COMPLETE
68,0.5254564840730374,0.1,1e-05,0.002,0.4,256,64,7,0.0306,0.69252,0.55,0.5561,0.1122,0.8582,0.1897,0.6071,0.1564,397,64,0.5418,0.5255,0.0509,0.847,0.2012,0.6136,0.1268,44,COMPLETE
69,0.5455151272824204,0.30000000000000004,1e-05,0.002,0.30000000000000004,512,128,13,0.0144,0.6932,0.5504,0.5599,0.1198,0.7946,0.265,0.5887,0.4732,1201,128,0.5591,0.5455,0.091,0.6612,0.4451,0.5346,0.4582,159,COMPLETE
70,0.5270891643342663,0.1,1e-05,0.002,0.2,512,64,13,0.0783,0.69159,0.5831,0.6053,0.2107,0.8341,0.2897,0.6626,0.292,741,64,0.5476,0.5271,0.0542,0.7596,0.311,0.5432,0.2334,81,COMPLETE
71,0.5367519658803146,0.1,0.001,0.002,0.30000000000000004,512,64,9,0.0045,0.69366,0.5433,0.5413,0.0825,0.9883,0.0231,0.6025,0.0634,161,64,0.5274,0.5368,0.0735,0.9727,0.0305,0.5217,0.0663,23,COMPLETE
72,0.5334199653471945,0.1,0.001,0.002,0.30000000000000004,512,64,17,0.0235,0.69211,0.5394,0.5569,0.1139,0.9978,0.0034,0.5952,0.2979,756,64,0.5274,0.5334,0.0668,1.0,0.0,0.5595,0.2421,84,COMPLETE
73,0.5344195655071304,0.1,0.001,0.002,0.30000000000000004,512,64,11,0.0009,0.6923,0.5374,0.5353,0.0706,0.9254,0.0838,0.6094,0.0918,233,64,0.5043,0.5344,0.0688,0.8689,0.0976,0.6667,0.0605,21,COMPLETE
74,0.5068306010928962,0.1,0.001,0.002,0.1,512,64,12,0.0293,0.69235,0.5394,0.5362,0.0723,0.9993,0.0017,0.55,0.0079,20,64,0.5274,0.5068,0.0137,1.0,0.0,-1.0,0.0,0,COMPLETE
75,0.5488471278155403,0.2,0.001,0.002,0.30000000000000004,512,256,21,-0.0074,0.69195,0.5398,0.5415,0.083,1.0,0.0017,0.6118,0.0335,85,256,0.5274,0.5488,0.0977,1.0,0.0,0.6364,0.0317,11,COMPLETE
76,0.5588431294149008,0.1,1e-05,0.002,0.4,512,64,16,0.0341,0.68936,0.5697,0.593,0.1859,0.8648,0.2248,0.658,0.2281,579,64,0.5418,0.5588,0.1177,0.7814,0.2744,0.6393,0.1758,61,COMPLETE
77,0.5249566839930695,0.2,1e-05,0.001,0.4,512,256,12,0.0336,0.69382,0.5445,0.5586,0.1171,0.845,0.1932,0.6362,0.1895,481,256,0.5389,0.525,0.0499,0.8743,0.1646,0.5192,0.1499,52,COMPLETE
78,0.5277888844462215,0.2,1e-05,0.002,0.4,128,256,11,0.0543,0.6919,0.5607,0.5821,0.1642,0.72,0.3744,0.6136,0.3834,973,64,0.5159,0.5278,0.0556,0.612,0.4085,0.5833,0.2767,96,COMPLETE
79,0.5065307210449154,0.1,1e-05,0.0005,0.4,512,128,13,0.0618,0.69555,0.5532,0.5683,0.1366,0.8925,0.1564,0.5936,0.3684,935,128,0.5418,0.5065,0.0131,0.8142,0.2378,0.5444,0.2594,90,COMPLETE
80,0.5667066506730641,0.2,1e-05,0.002,0.4,512,64,6,-0.0095,0.69202,0.5516,0.5572,0.1144,0.7493,0.3205,0.6486,0.0583,148,64,0.5562,0.5667,0.1334,0.776,0.311,0.4444,0.0259,9,COMPLETE
81,0.518925763028122,0.2,1e-05,0.002,0.4,512,64,14,0.0453,0.69358,0.5457,0.5642,0.1284,0.9335,0.0923,0.6044,0.3377,857,64,0.5331,0.5189,0.0379,0.9235,0.0976,0.5614,0.3285,114,COMPLETE
82,0.5332200453152073,0.2,1e-05,0.002,0.4,512,64,6,0.0044,0.69377,0.5449,0.5376,0.0752,0.8801,0.153,0.5856,0.2025,514,64,0.5245,0.5332,0.0664,0.8852,0.122,0.6327,0.1412,49,COMPLETE
83,0.5418166066906571,0.2,1e-05,0.002,0.4,512,64,18,0.0704,0.69173,0.5776,0.6123,0.2245,0.807,0.3094,0.6376,0.448,1137,64,0.5533,0.5418,0.0836,0.7158,0.372,0.5493,0.4092,142,COMPLETE
84,0.5148940423830468,0.2,1e-05,0.002,0.4,512,64,8,0.04,0.69441,0.5441,0.5549,0.1097,0.894,0.135,0.6236,0.0701,178,64,0.5216,0.5149,0.0298,0.8142,0.1951,0.6087,0.0663,23,COMPLETE
85,0.5448154071704652,0.2,1e-05,0.002,0.4,512,256,16,0.0435,0.69253,0.5579,0.5883,0.1766,0.883,0.1778,0.6436,0.3306,839,256,0.5187,0.5448,0.0896,0.7869,0.2195,0.5833,0.2767,96,COMPLETE
86,0.5329868052778889,0.2,1e-05,0.002,0.4,256,256,15,0.0697,0.6915,0.5725,0.6027,0.2054,0.8099,0.2949,0.6338,0.4401,1117,256,0.5245,0.533,0.066,0.7322,0.2927,0.5714,0.3631,126,COMPLETE
87,0.5414167666266827,0.2,0.0001,0.002,0.4,512,64,18,0.0372,0.69456,0.5658,0.5787,0.1573,0.78,0.3154,0.6129,0.4153,1054,64,0.536,0.5414,0.0828,0.7377,0.311,0.5695,0.4352,151,COMPLETE
88,0.5403838464614155,0.4,1e-05,0.002,0.4,512,256,7,-0.0017,0.69543,0.5414,0.5387,0.0773,0.894,0.1291,0.5733,0.4275,1085,256,0.5159,0.5404,0.0808,0.929,0.0549,0.5547,0.3948,137,COMPLETE
89,0.5162934826069572,0.30000000000000004,0.001,0.002,0.4,512,256,15,0.0439,0.69414,0.5402,0.5601,0.1203,0.9247,0.0906,0.6448,0.1143,290,256,0.513,0.5163,0.0326,0.8689,0.1159,0.6341,0.1182,41,COMPLETE
90,0.5195255231240837,0.1,0.001,0.002,0.4,512,64,25,0.0413,0.6926,0.541,0.5608,0.1216,0.9832,0.0239,0.6236,0.1706,433,64,0.536,0.5195,0.0391,0.9727,0.0488,0.5472,0.1527,53,COMPLETE
91,0.5539784086365455,0.1,0.001,0.002,0.30000000000000004,512,64,20,0.0049,0.69111,0.5461,0.5589,0.1178,0.9561,0.0667,0.596,0.3325,844,64,0.5187,0.554,0.108,0.8962,0.0976,0.5766,0.3199,111,COMPLETE
92,0.5485805677728908,0.1,0.001,0.002,0.30000000000000004,512,64,14,-0.0107,0.69183,0.5414,0.5378,0.0757,0.9057,0.1154,0.6269,0.1056,268,64,0.5159,0.5486,0.0972,0.8689,0.122,0.6757,0.1066,37,COMPLETE
93,0.522557643609223,0.1,0.001,0.002,0.30000000000000004,512,64,22,0.0398,0.69294,0.5473,0.5624,0.1247,0.8867,0.1504,0.624,0.2065,524,64,0.4957,0.5226,0.0451,0.7869,0.1707,0.5238,0.1816,63,COMPLETE
94,0.5058643209382914,0.1,0.001,0.002,0.4,512,64,18,0.0389,0.69326,0.5414,0.5447,0.0895,0.9949,0.0111,0.6176,0.1391,353,64,0.5274,0.5059,0.0117,0.9891,0.0122,0.475,0.1153,40,COMPLETE
95,0.5020658403305345,0.2,0.001,0.001,0.4,512,64,26,0.0491,0.69408,0.5449,0.5511,0.1023,0.9371,0.0863,0.6074,0.1706,433,64,0.5389,0.5021,0.0041,0.929,0.1037,0.5,0.1326,46,COMPLETE
96,0.5144942023190724,0.2,0.0001,0.002,0.30000000000000004,128,256,17,0.0926,0.69514,0.5812,0.6071,0.2142,0.7931,0.3333,0.6334,0.4385,1113,64,0.5014,0.5145,0.029,0.6503,0.3354,0.5714,0.2824,98,COMPLETE
